threads,totaltime,realtime,avg_filewalker,avg_queue_1,avg_digester,avg_queue_2
1,3008116280172,1589004720910,4686.22,52939.24,62676.98,7990.47
2,2701123043795,976864557217,5550.12,32470.17,69442.69,7736.99
4,3312203735177,737028640605,7340.21,28803.68,96559.38,8558.64
8,4457842668057,585320928358,7836.08,32138.44,137833.25,12314.41
16,7064741357077,535140888985,8334.38,77653.89,185004.36,30310.97
32,12419227653380,519977109541,9493.61,169981.92,281056.11,69135.05
64,22887867213692,513779477577,10347.02,338951.98,478403.72,148440.19
