len,base,1r,1c,2r,2c,4r,4c,8r,8c,16r,16c,32r,32c
32,332571,426370,447246,339002,350023,279599,297682,338183,329064,562637,579526,1112722,1094002
64,2431683,4296293,9730046,5545999,5716322,4762023,4257239,2286190,2141521,2132287,2184990,2778981,2744814
128,20741571,21331403,20790789,11867559,10761055,9167847,8951346,6672246,6329929,5871755,5752862,6358200,5888405
256,178762912,182001833,182375087,91493757,89812523,70591734,76017976,45102195,44792162,45504993,46113469,53558959,55942490
512,1607940102,1613376855,1617668228,810518308,811606772,470184895,515762677,453170040,476084699,462448475,482652953,457969903,471404081
1024,19904252619,19804934288,19747967202,11288917404,10846343342,5573484930,5308070475,5018429065,5461219594,4856014609,4949415531,4851919395,4816737568
